gamma powonly ratio blind genie
0.01 0.11679144 1.1165626 1.1442703 5.4696448
0.015848932 0.29004052 2.5275516 2.6088432 8.6777804
0.025118864 0.71568775 5.4892922 5.654538 13.774983
0.039810717 1.7487982 11.352363 11.645689 21.883744
0.063095734 4.2111331 22.27774 22.633664 34.801161
0.1 9.9272727 41.552486 42.287018 55.440913
0.15848932 22.721263 74.128467 75.065911 88.458102
0.25118864 50.030194 127.59848 129.07341 141.43364
0.39810717 105.11218 213.84397 216.27283 226.5272
0.63095734 209.66936 351.6626 356.03007 363.28935
1 397.09091 570.89079 578.47517 582.60512
1.5848932 717.62472 918.88915 930.66734 932.46515
2.5118864 1247.7932 1470.7907 1487.7173 1488.212
3.9810717 2106.6836 2345.731 2366.9266 2367.0124
6.3095734 3482.2608 3732.5694 3756.5243 3756.5326
10 5672.7273 5930.6569 5956.7971 5956.7974
15.848932 9151.4902 9414.4524 9442.2572 9442.2622
25.118864 14669.703 14935.935 14963.714 14963.717
39.810717 23418.587 23686.921 23714.999 23715.002
63.095734 37286.637 37556.313 37578.71 37578.713
100 59267.3 59537.829 59558.908 59558.912
158.48932 94105.12 94376.191 94422.57 94422.62
251.18864 149319.86 149591.28 149632.45 149632.47
398.10717 236829.66 237101.29 237204.79 237205.08
630.95734 375523.56 375795.32 375888.53 375888.66
1000 595338.69 595610.55 595349.18 595350.69
