dP psi
0.16666667 153.50586
0.16498952 153.22539
0.16331237 152.94568
0.16163522 152.66674
0.15995807 152.38857
0.15828092 152.11115
0.15660377 151.83449
0.15492662 151.55858
0.15324948 151.28343
0.15157233 151.00902
0.14989518 150.73536
0.14821803 150.46245
0.14654088 150.19027
0.14486373 149.91883
0.14318658 149.64813
0.14150943 149.37816
0.13983229 149.10892
0.13815514 148.8404
0.13647799 148.57261
0.13480084 148.30555
0.13312369 148.0392
0.13144654 147.77357
0.12976939 147.50865
0.12809224 147.24445
0.12641509 146.98095
0.12473795 146.71817
0.1230608 146.45608
0.12138365 146.1947
0.1197065 145.93402
0.11802935 145.67403
0.1163522 145.41474
0.11467505 145.15613
0.1129979 144.89822
0.11132075 144.641
0.10964361 144.38446
0.10796646 144.1286
0.10628931 143.87342
0.10461216 143.61891
0.10293501 143.36509
0.10125786 143.11193
0.099580713 142.85945
0.097903564 142.60763
0.096226415 142.35648
0.094549266 142.10599
0.092872117 141.85616
0.091194969 141.60699
0.08951782 141.35847
0.087840671 141.11061
0.086163522 140.8634
0.084486373 140.61684
0.082809224 140.37092
0.081132075 140.12565
0.079454927 139.88103
0.077777778 139.63704
0.076100629 139.39369
0.07442348 139.15098
0.072746331 138.9089
0.071069182 138.66745
0.069392034 138.42663
0.067714885 138.18643
0.066037736 137.94686
0.064360587 137.70792
0.062683438 137.46959
0.061006289 137.23188
0.05932914 136.99479
0.057651992 136.75831
0.055974843 136.52245
0.054297694 136.28719
0.052620545 136.05254
0.050943396 135.8185
0.049266247 135.58506
0.047589099 135.35222
0.04591195 135.11998
0.044234801 134.88833
0.042557652 134.65729
0.040880503 134.42683
0.039203354 134.19697
0.037526205 133.9677
0.035849057 133.73901
0.034171908 133.51091
0.032494759 133.28339
0.03081761 133.05645
0.029140461 132.83009
0.027463312 132.60431
0.025786164 132.3791
0.024109015 132.15447
0.022431866 131.93041
0.020754717 131.70692
0.019077568 131.48399
0.017400419 131.26163
0.01572327 131.03984
0.014046122 130.8186
0.012368973 130.59793
0.010691824 130.37781
0.0090146751 130.15825
0.0073375262 129.93924
0.0056603774 129.72079
0.0039832285 129.50289
0.0023060797 129.28553
0.00062893082 129.06872
-0.001048218 128.85246
-0.0027253669 128.63674
-0.0044025157 128.42156
-0.0060796646 128.20692
-0.0077568134 127.99282
-0.0094339623 127.77925
-0.011111111 127.56622
-0.01278826 127.35372
-0.014465409 127.14175
-0.016142558 126.93031
-0.017819706 126.7194
-0.019496855 126.50901
-0.021174004 126.29915
-0.022851153 126.0898
-0.024528302 125.88098
-0.026205451 125.67268
-0.0278826 125.46489
-0.029559748 125.25762
-0.031236897 125.05086
-0.032914046 124.84461
-0.034591195 124.63887
-0.036268344 124.43364
-0.037945493 124.22892
-0.039622642 124.0247
-0.04129979 123.82098
-0.042976939 123.61777
-0.044654088 123.41505
-0.046331237 123.21284
-0.048008386 123.01112
-0.049685535 122.80989
-0.051362683 122.60916
-0.053039832 122.40892
-0.054716981 122.20917
-0.05639413 122.00991
-0.058071279 121.81114
-0.059748428 121.61285
-0.061425577 121.41504
-0.063102725 121.21772
-0.064779874 121.02088
-0.066457023 120.82452
-0.068134172 120.62863
-0.069811321 120.43322
-0.07148847 120.23829
-0.073165618 120.04383
-0.074842767 119.84983
-0.076519916 119.65631
-0.078197065 119.46326
-0.079874214 119.27068
-0.081551363 119.07856
-0.083228512 118.8869
-0.08490566 118.69571
-0.086582809 118.50497
-0.088259958 118.3147
-0.089937107 118.12488
-0.091614256 117.93552
-0.093291405 117.74662
-0.094968553 117.55817
-0.096645702 117.37017
-0.098322851 117.18262
-0.1 116.99552
