M gaindb
1 2.9575765
1.2589254 2.68638
1.5848932 2.4360213
1.9952623 2.2056009
2.5118864 1.9941292
3.1622777 1.8005567
3.9810717 1.623798
5.0118723 1.4627543
6.3095734 1.3163312
7.9432823 1.1834536
10 1.0630781
12.589254 0.95420163
15.848932 0.85586847
19.952623 0.76717484
25.118864 0.68727173
31.622777 0.61536619
39.810717 0.55072148
50.118723 0.49265616
63.095734 0.44054254
79.432823 0.39380447
100 0.35191482
125.89254 0.3143927
158.48932 0.28080047
199.52623 0.25074079
251.18864 0.22385363
316.22777 0.19981333
398.10717 0.17832581
501.18723 0.15912588
630.95734 0.14197469
794.32823 0.1266574
1000 0.11298091
1258.9254 0.10077185
1584.8932 0.089874683
1995.2623 0.080149966
2511.8864 0.071472767
3162.2777 0.063731216
3981.0717 0.056825194
5011.8723 0.050665138
6309.5734 0.045170959
7943.2823 0.040271067
10000 0.035901489
